,id,Tanggal_Order,Waktu_Pesan,Nama_Pemesan,No_Resi,Produk,Kategori,Jumlah_Pesanan,Harga,Diskon,Total_Harga,Profit,Kota_Pengiriman - Media Pemesanan,Admin_Proses,Ekspedisi,Rating
14,15,2018/01/04,0:55:05,Beitris Havile,0591-0453,,,24.0,,20.0,,,Semarang - Shopee,Mark,JNE,4.0
15,16,2018/01/12,23:49:19,Jarrid Barry,66758-016,Oversized T-Shirt,,1.0,,,,,Yogyakarta - Whatsapp,Mark,Wahana,4.0
16,17,2018/01/05,18:44:48,Rafe Penhall,61458-0001,T-Shirt,,18.0,,,,,Bali - Whatsapp,Elon,POS Indonesia,5.0
17,18,2018/01/23,17:48:16,Jasmina Hardcastle,68180-902,Oversized T-Shirt,,12.0,,34.0,,,Bali - Lazada,Mark,JNT,2.0
18,19,2018/01/28,8:45:15,Reece Tetley,52685-338,T-Shirt,,18.0,,33.0,,,Bogor - Shopee,Rizal,Wahana,5.0
19,20,2018/01/27,20:09:05,Wilmette Sapshed,29333-0001,Cargo Pants,,22.0,,,,,Semarang - Tokopedia,Elon,,3.0
20,21,2018/01/27,18:14:39,Karoly Munnery,63739-431,Mug,,16.0,,34.0,,,Semarang - Shopee,Abraham,SiCepat,
21,22,2018/01/12,3:50:54,Stesha O'Fallowne,10967-583,Parka Jackets,,7.0,,,,,Bali - Shopee,Mark,Shopee Express,1.0
22,23,2018/01/19,12:19:55,Dorene Langland,42291-600,T-Shirt,,14.0,,,,,Bandung - Tiktok,Nami,POS Indonesia,2.0
23,24,2018/01/28,23:09:20,Idalia Fulks,37205-719,Oversized T-Shirt,,25.0,,,,,Depok - Tiktok,Mark,Wahana,3.0
24,25,2018/01/10,11:36:41,Justinn Loader,59779-376,Sweater,,13.0,,,,,Semarang - Tiktok,Nami,JNT,2.0
25,26,2018/01/22,20:42:03,Ailee Ayliff,62037-675,Oversized T-Shirt,,18.0,,,,,Jakarta - Whatsapp,Jeff,SiCepat,5.0
26,27,2018/01/27,22:43:11,Jo-anne Reneke,61570-075,Oversized T-Shirt,,8.0,,28.0,,,Jakarta - FB Marketplace,Elon,Tiki,3.0
27,28,2018/01/20,14:41:01,Benjy Easen,33261-143,Oversized T-Shirt,,9.0,,10.0,,,Jakarta - Website,Mark,JNE,1.0
28,29,2018/01/03,15:25:31,Halette Cawtheray,0462-0392,T-Shirt,,17.0,,,,,Jakarta - Tokopedia,Rizal,Shopee Express,4.0
29,30,2018/01/23,19:00:16,Andrej Brackstone,68850-001,Parka Jackets,,19.0,,35.0,,,Semarang - Lazada,Wanokuni,Shopee Express,5.0
30,31,2018/01/18,11:34:10,Nerti Greason,11819-351,T-Shirt,,24.0,,21.0,,,Bogor - Shopee,Elon,JNE,4.0
31,32,2018/01/20,1:59:13,Diarmid Chaffey,0004-0186,Oversized T-Shirt,,12.0,,,,,Depok - Shopee,Wanokuni,Tiki,5.0
32,33,2018/01/18,17:40:01,Kippy Anchor,63868-998,Cargo Pants,,11.0,,28.0,,,Jakarta - Shopee,Elon,Tiki,5.0
33,34,2018/01/04,16:40:09,Anthiathia Seppey,64942-0894,Oversized T-Shirt,,7.0,,21.0,,,Semarang - Whatsapp,Rizal,Shopee Express,
34,35,2018/01/30,5:31:14,Coretta Ramlot,54868-2093,T-Shirt,,19.0,,,,,Bali - FB Marketplace,Rizal,POS Indonesia,3.0
35,36,2018/01/02,14:20:20,Dyanna Emmanuel,52959-761,Oversized T-Shirt,,22.0,,,,,Yogyakarta - FB Marketplace,Jeff,POS Indonesia,
36,37,2018/01/28,6:51:12,Cathie Brimelow,49281-489,Cargo Pants,,3.0,,,,,Semarang - Lazada,Nami,Wahana,3.0
37,38,2018/01/25,1:05:11,Emiline Oddey,0378-6004,,,15.0,,,,,Yogyakarta - Lazada,Elon,Wahana,5.0
38,39,2018/01/06,22:44:06,Nicolai Jerrems,64679-661,Cargo Pants,,22.0,,,,,Bogor - Website,Abraham,,2.0
39,40,2018/01/10,10:12:02,Minnnie Bysshe,49349-607,Parka Jackets,,23.0,,,,,Bogor - Website,Mark,Wahana,1.0
40,41,2018/01/26,14:30:48,Barbette Brogi,35356-702,Oversized T-Shirt,,7.0,,31.0,,,Bali - Lazada,Wanokuni,Wahana,2.0
41,42,2018/01/30,3:34:15,Ravid Proger,52125-030,Oversized T-Shirt,,18.0,,30.0,,,Yogyakarta - Tokopedia,Jeff,POS Indonesia,5.0
42,43,2018/01/12,22:14:46,Ferd Tomaskov,63739-986,Parka Jackets,,7.0,,27.0,,,Tangerang - Whatsapp,Rizal,Shopee Express,5.0
43,44,2018/01/05,14:08:03,Farah Murley,48951-1028,T-Shirt,,14.0,,19.0,,,Tangerang - Whatsapp,Abraham,JNE,1.0
44,45,2018/01/01,9:38:05,Sig Elks,50227-2115,Parka Jackets,,5.0,,33.0,,,Yogyakarta - FB Marketplace,Elon,,1.0
45,46,2018/01/03,2:58:52,Bree Gwyn,21695-080,Parka Jackets,,23.0,,,,,Jakarta - Lazada,Rizal,Shopee Express,4.0
46,47,2018/01/16,0:19:03,Stacy Piechnik,68788-9554,T-Shirt,,20.0,,28.0,,,Tangerang - Lazada,Nami,POS Indonesia,4.0
47,48,2018/01/26,12:40:30,Syd O'Duilleain,64720-239,T-Shirt,,12.0,,,,,Bali - Website,Nami,JNT,3.0
48,49,2018/01/28,20:51:16,Siobhan Boyet,55910-724,Oversized T-Shirt,,16.0,,,,,Yogyakarta - Tokopedia,Rizal,SiCepat,
49,50,2018/01/19,7:06:12,Alfie Billin,33261-963,T-Shirt,,24.0,,10.0,,,Bali - Lazada,Abraham,Shopee Express,1.0
50,51,2018/01/04,13:12:32,Mufinella Codling,63824-720,Topi,,25.0,,32.0,,,Bogor - Tokopedia,Elon,Shopee Express,2.0
51,52,2018/01/22,18:21:45,Robinett Normanell,10056-105,Oversized T-Shirt,,12.0,,,,,Semarang - Tiktok,Jeff,Wahana,3.0
52,53,2018/01/06,14:51:07,Marius Abrey,98132-725,Oversized T-Shirt,,10.0,,,,,Semarang - Tokopedia,Abraham,Shopee Express,5.0
53,54,2018/01/08,8:17:31,Benedict Vigrass,41520-141,T-Shirt,,8.0,,,,,Bogor - Website,Mark,Tiki,5.0
54,55,2018/01/28,3:54:47,Tobe Tarn,52125-748,Sweater,,5.0,,,,,Bogor - FB Marketplace,Elon,Shopee Express,1.0
55,56,2018/01/06,6:30:52,Onfroi Iskower,57955-8699,Topi,,1.0,,,,,Bali - Website,Abraham,JNT,5.0
56,57,2018/01/05,2:21:49,Wilmar Lindman,63777-262,T-Shirt,,19.0,,,,,Depok - Website,Jeff,Shopee Express,4.0
57,58,2018/01/06,21:37:32,Annice Gurnay,10345-022,Cargo Pants,,23.0,,16.0,,,Depok - Website,Mark,Wahana,1.0
58,59,2018/01/01,14:21:22,Paton Goney,62670-4808,Cargo Pants,,24.0,,,,,Tangerang - Lazada,Jeff,POS Indonesia,3.0
59,60,2018/01/30,0:21:10,Daune Ilyukhov,0363-0342,Cargo Pants,,17.0,,,,,Yogyakarta - Shopee,Wanokuni,JNE,4.0
60,61,2018/01/24,1:51:08,Monica Fletham,0179-0151,Sweater,,16.0,,,,,Depok - Lazada,Wanokuni,JNT,3.0
61,62,2018/01/21,0:11:25,Xylia Lanbertoni,0067-2053,Oversized T-Shirt,,8.0,,27.0,,,Yogyakarta - Shopee,Mark,Wahana,5.0
62,63,2018/01/04,6:22:14,Marisa Seamarke,52125-301,T-Shirt,,2.0,,13.0,,,Depok - Instagram,Elon,SiCepat,2.0
63,64,2018/01/27,12:56:40,Farr Rideout,64117-283,Parka Jackets,,4.0,,,,,Bandung - Tiktok,Nami,Wahana,2.0
64,65,2018/01/09,4:00:47,Marion Lenihan,16590-950,Sweater,,21.0,,24.0,,,Depok - Tokopedia,Wanokuni,Shopee Express,1.0
65,66,2018/01/23,4:08:23,Maura Kalisch,57520-1003,T-Shirt,,20.0,,,,,Semarang - Shopee,Jeff,Shopee Express,2.0
66,67,2018/01/28,3:52:34,Melessa Grancher,58809-729,Oversized T-Shirt,,21.0,,15.0,,,Depok - Tokopedia,Nami,JNE,4.0
67,68,2018/01/12,21:28:58,Laird Sidery,0378-0525,T-Shirt,,21.0,,18.0,,,Bali - Tokopedia,Mark,Shopee Express,2.0
68,69,2018/01/22,2:57:47,Benjy Easen,54575-306,Topi,,10.0,,,,,Bali - Instagram,Rizal,SiCepat,4.0
69,70,2018/01/27,6:01:09,Lek Benet,42254-131,T-Shirt,,11.0,,35.0,,,Tangerang - Lazada,Elon,Wahana,3.0
70,71,2018/01/28,15:55:01,Bill Humphris,68382-099,Parka Jackets,,18.0,,32.0,,,Depok - Whatsapp,Mark,Tiki,1.0
71,72,2018/01/24,6:27:03,Gus Noah,76472-1164,T-Shirt,,24.0,,,,,Bogor - Tiktok,Elon,Tiki,
72,73,2018/01/20,0:33:54,Melosa Brehat,0944-3045,T-Shirt,,15.0,,,,,Bandung - Website,Mark,Tiki,4.0
73,74,2018/01/18,14:01:29,Marius Abrey,63739-484,T-Shirt,,20.0,,,,,,Abraham,Wahana,1.0
74,75,2018/01/04,1:33:52,Kristofor Sumner,0093-8119,Sweater,,7.0,,,,,Semarang - Website,Jeff,Shopee Express,3.0
75,76,2018/01/22,10:42:47,Inga Sekulla,36987-1937,T-Shirt,,7.0,,21.0,,,Tangerang - Tiktok,Rizal,JNT,1.0
76,77,2018/01/27,0:36:24,Dorothy Melton,68196-142,T-Shirt,,21.0,,9.0,,,Bogor - Instagram,Elon,JNE,5.0
77,78,2018/01/01,12:37:08,Sandra Forde,62936-0042,T-Shirt,,12.0,,,,,Tangerang - Shopee,Mark,Tiki,4.0
78,79,2018/01/24,22:09:50,Carroll Conklin,25000-133,Parka Jackets,,15.0,,,,,Jakarta - Instagram,Rizal,SiCepat,1.0
79,80,2018/01/20,6:46:32,Mischa Plowman,59351-0315,T-Shirt,,20.0,,,,,Tangerang - Website,Rizal,Wahana,
80,81,2018/01/13,17:39:34,Jeramey Crummay,55154-5625,T-Shirt,,23.0,,20.0,,,Tangerang - Website,Mark,JNE,4.0
81,82,2018/01/10,14:08:43,Lauren Antoniat,36987-1206,Oversized T-Shirt,,20.0,,28.0,,,,Elon,JNT,4.0
82,83,2018/01/26,17:32:36,Jo-anne Reneke,49349-474,T-Shirt,,10.0,,,,,Bandung - Lazada,Rizal,SiCepat,4.0
83,84,2018/01/08,12:31:25,Benedikt Hymans,50523-632,Oversized T-Shirt,,13.0,,12.0,,,Bandung - FB Marketplace,Nami,Shopee Express,4.0
84,85,2018/01/22,6:49:31,Lilith Bradfield,52959-547,Parka Jackets,,3.0,,,,,Bali - Tiktok,Nami,POS Indonesia,5.0
85,86,2018/01/10,7:39:00,Ken Hadden,0093-2748,T-Shirt,,21.0,,27.0,,,Bogor - Lazada,Nami,,5.0
86,87,2018/01/27,9:54:04,Gayle Pancoast,52959-812,Mug,,23.0,,26.0,,,Yogyakarta - Lazada,Rizal,Shopee Express,4.0
87,88,2018/01/29,16:39:59,Aylmar Sannes,23155-105,Oversized T-Shirt,,1.0,,34.0,,,Depok - Tiktok,Mark,SiCepat,1.0
88,89,2018/01/05,16:18:12,Roderigo Marusik,55154-5382,T-Shirt,,10.0,,,,,Bali - Website,Nami,Tiki,5.0
89,90,2018/01/14,15:48:18,Doralin Fricke,0615-6576,T-Shirt,,1.0,,25.0,,,Yogyakarta - Website,Jeff,Wahana,
90,91,2018/01/19,9:21:14,Crysta Ward,0527-1407,Oversized T-Shirt,,3.0,,,,,Depok - Shopee,Abraham,JNT,5.0
91,92,2018/01/17,7:55:34,Odille Lafay,0187-0453,Parka Jackets,,14.0,,23.0,,,Semarang - Tokopedia,Nami,JNT,1.0
92,93,2018/01/24,22:34:24,Gregoor Gooms,64117-839,T-Shirt,,15.0,,,,,Bali - Tokopedia,Wanokuni,SiCepat,4.0
93,94,2018/01/27,5:42:11,Tracey Haskew,49543-738,Oversized T-Shirt,,22.0,,,,,,Rizal,Shopee Express,5.0
94,95,2018/01/29,21:24:45,Marisa Seamarke,0944-0490,T-Shirt,,23.0,,,,,Bandung - Instagram,Mark,Tiki,2.0
95,96,2018/01/17,2:30:55,Gil Sailer,50988-230,Oversized T-Shirt,,25.0,,,,,Yogyakarta - Whatsapp,Nami,JNE,1.0
96,97,2018/01/21,12:19:53,Nealson Heeps,54569-1285,Topi,,2.0,,5.0,,,Depok - Tiktok,Mark,POS Indonesia,5.0
97,98,2018/01/28,22:10:53,Reynard Chrstine,60429-340,T-Shirt,,22.0,,,,,Tangerang - Instagram,Abraham,Shopee Express,3.0
98,99,2018/01/14,15:29:53,Molli Cothey,45014-140,Oversized T-Shirt,,2.0,,29.0,,,Yogyakarta - FB Marketplace,Nami,Wahana,4.0
99,100,2018/01/16,17:51:11,Ailey Wallbutton,0093-9604,Topi,,1.0,,,,,Semarang - Instagram,Jeff,Tiki,2.0
100,101,2018/01/28,3:49:04,Ruddy Vedekhov,36987-2000,Parka Jackets,,17.0,,22.0,,,Bali - FB Marketplace,Nami,Shopee Express,5.0
101,102,2018/01/20,21:15:19,Helenelizabeth Brewster,55714-4429,Oversized T-Shirt,,19.0,,17.0,,,Semarang - Whatsapp,Rizal,POS Indonesia,1.0
102,103,2018/01/17,4:50:18,Kile Artist,99207-464,Parka Jackets,,2.0,,,,,Depok - Lazada,Elon,Shopee Express,2.0
103,104,2018/01/25,15:56:42,Johanna Nann,48404-037,T-Shirt,,14.0,,,,,Bandung - Lazada,Nami,Tiki,3.0
104,105,2018/01/27,13:06:13,Cesaro MacNulty,21695-802,T-Shirt,,13.0,,13.0,,,,Nami,Tiki,3.0
105,106,2018/01/13,17:45:50,Rockey Fiennes,0065-0800,Oversized T-Shirt,,,,30.0,,,Depok - Shopee,Abraham,Wahana,3.0
106,107,2018/01/05,17:26:12,Kandy Whorton,0093-2748,T-Shirt,,3.0,,,,,Bogor - Tokopedia,Wanokuni,,
107,108,2018/01/09,22:15:18,Frieda Spaule,35356-991,Sweater,,18.0,,,,,Bogor - Lazada,Jeff,Shopee Express,1.0
108,109,2018/01/01,1:38:58,Kurt Alexandre,63777-806,T-Shirt,,16.0,,,,,Tangerang - Website,Wanokuni,JNE,1.0
109,110,2018/01/14,22:10:28,Lizette Hartness,60846-809,T-Shirt,,7.0,,17.0,,,Bogor - Tokopedia,Elon,,1.0
110,111,2018/01/09,13:32:27,Krystyna Bulteel,55301-243,Sweater,,2.0,,,,,Yogyakarta - Website,Mark,POS Indonesia,5.0
111,112,2018/01/26,13:06:47,Putnem Petracci,42851-052,T-Shirt,,20.0,,,,,Yogyakarta - Tokopedia,Wanokuni,,1.0
112,113,2018/01/20,7:16:54,Clive Ciabatteri,0310-0283,Mug,,23.0,,,,,Bali - Shopee,Mark,JNE,3.0
113,114,2018/01/17,8:08:56,Rebekkah Gluyus,50458-650,Sweater,,20.0,,20.0,,,Yogyakarta - Whatsapp,Rizal,Wahana,5.0
114,115,2018/01/16,17:23:00,Simonette Spire,50563-168,T-Shirt,,13.0,,35.0,,,Semarang - FB Marketplace,Elon,Wahana,4.0
115,116,2018/01/04,12:25:48,Kakalina Bassano,68084-159,T-Shirt,,12.0,,15.0,,,Bali - FB Marketplace,Jeff,JNT,
116,117,2018/01/30,1:09:53,Westley Sail,0498-0015,Oversized T-Shirt,,25.0,,,,,Bogor - Shopee,Mark,,1.0
117,118,2018/01/01,14:13:58,Winne Prine,13537-490,T-Shirt,,19.0,,,,,Semarang - Tokopedia,Abraham,,2.0
118,119,2018/01/21,20:11:58,Emlynne Armatidge,50017-023,Sweater,,20.0,,27.0,,,Bali - Tiktok,Wanokuni,Wahana,2.0
119,120,2018/01/10,0:44:46,Ailee Ayliff,68645-150,,,22.0,,20.0,,,Yogyakarta - Lazada,Mark,JNT,3.0
120,121,2018/01/13,6:07:49,Adora Carty,61786-024,T-Shirt,,14.0,,,,,Bali - Shopee,Mark,Wahana,1.0
121,122,2018/01/11,9:46:15,Lester MacTrustie,76123-243,Parka Jackets,,21.0,,,,,Yogyakarta - FB Marketplace,Jeff,JNT,4.0
122,123,2018/01/30,12:23:30,Tess Heads,44004-801,Mug,,12.0,,23.0,,,Bali - Lazada,Jeff,Shopee Express,4.0
123,124,2018/01/16,15:54:43,Denny Tunnacliffe,60760-131,Oversized T-Shirt,,21.0,,,,,Bogor - Website,Elon,,1.0
124,125,2018/01/07,2:16:19,Kaylil Antonomolii,55648-670,Parka Jackets,,19.0,,6.0,,,Yogyakarta - Website,Elon,Tiki,2.0
125,126,2018/01/04,14:03:47,Lauren Antoniat,16729-089,T-Shirt,,1.0,,14.0,,,Depok - Instagram,Rizal,Tiki,2.0
126,127,2018/01/13,17:54:57,Elke Riquet,62721-0471,Oversized T-Shirt,,4.0,,22.0,,,Depok - FB Marketplace,Nami,,5.0
127,128,2018/01/09,22:34:39,Angelia Samber,0113-0202,Oversized T-Shirt,,3.0,,11.0,,,Bali - FB Marketplace,Elon,SiCepat,4.0
128,129,2018/01/05,15:16:58,Conrade Vashchenko,36987-3227,T-Shirt,,22.0,,,,,Bali - FB Marketplace,Abraham,Wahana,3.0
129,130,2018/01/14,4:51:46,Winne Prine,43419-310,Oversized T-Shirt,,18.0,,,,,Tangerang - Instagram,Wanokuni,POS Indonesia,1.0
130,131,2018/01/11,18:09:55,Farr Rideout,0268-6540,Mug,,4.0,,33.0,,,Bali - Whatsapp,Mark,JNE,5.0
131,132,2018/01/30,13:37:27,Gratiana Plum,68382-203,T-Shirt,,16.0,,17.0,,,Tangerang - FB Marketplace,Mark,SiCepat,
132,133,2018/01/24,13:34:00,Bianka Stallard,57520-0233,Mug,,8.0,,,,,Tangerang - Tiktok,Nami,JNE,
133,134,2018/01/12,2:26:18,Ferd Tomaskov,68151-3063,Oversized T-Shirt,,22.0,,,,,Bali - Tokopedia,Nami,POS Indonesia,5.0
134,135,2018/01/28,11:28:34,Hyacinthia Kinahan,11410-613,T-Shirt,,5.0,,,,,Jakarta - Tokopedia,Elon,POS Indonesia,2.0
135,136,2018/01/29,2:46:41,Darryl Housby,62670-4590,Topi,,5.0,,,,,Bali - Whatsapp,Jeff,Tiki,2.0
136,137,2018/01/09,19:00:30,Ainslie Scothorn,68647-195,Oversized T-Shirt,,17.0,,,,,Bandung - Tokopedia,Nami,POS Indonesia,
137,138,2018/01/16,0:40:49,Patten Flippen,10223-0202,Cargo Pants,,,,,,,Depok - Shopee,Abraham,Tiki,
138,139,2018/01/08,13:27:28,Rubina Chatters,68428-060,T-Shirt,,21.0,,,,,Bogor - Tokopedia,Rizal,POS Indonesia,4.0
139,140,2018/01/19,10:44:37,Cordelie O' Timony,63687-0001,T-Shirt,,,,,,,Jakarta - FB Marketplace,Nami,Tiki,5.0
140,141,2018/01/15,0:47:44,Justinn Walhedd,61919-457,Cargo Pants,,12.0,,,,,Jakarta - Instagram,Jeff,JNE,2.0
141,142,2018/01/24,1:54:18,Mufinella Codling,0187-1611,T-Shirt,,2.0,,9.0,,,Bali - Lazada,Abraham,Wahana,3.0
142,143,2018/01/21,21:59:46,Carrol Jaszczak,55154-1028,T-Shirt,,19.0,,15.0,,,Jakarta - Lazada,Wanokuni,JNT,
143,144,2018/01/28,14:42:01,Faber Wasiel,49738-294,Sweater,,16.0,,28.0,,,Semarang - Instagram,Abraham,Tiki,3.0
144,145,2018/01/10,20:01:33,Carolan Klimmek,52125-256,T-Shirt,,5.0,,20.0,,,Depok - Website,Nami,Tiki,5.0
145,146,2018/01/16,18:38:23,Carolan Klimmek,11695-1406,T-Shirt,,2.0,,,,,Depok - Whatsapp,Wanokuni,SiCepat,5.0
146,147,2018/01/18,5:35:17,Deana Hoppner,0115-1209,T-Shirt,,18.0,,24.0,,,Bogor - Instagram,Jeff,SiCepat,2.0
147,148,2018/01/19,0:31:12,Cesaro MacNulty,25021-201,Oversized T-Shirt,,6.0,,29.0,,,Bali - Website,Rizal,Tiki,2.0
148,149,2018/01/11,3:48:21,Tymon Guildford,24236-248,T-Shirt,,20.0,,,,,Depok - Shopee,Jeff,JNE,2.0
149,150,2018/01/03,7:06:20,Ben O'Lunney,30142-217,Oversized T-Shirt,,17.0,,,,,Bandung - Website,Nami,,5.0
150,151,2018/01/13,18:44:25,Friedrick Quick,11673-448,Oversized T-Shirt,,17.0,,31.0,,,Jakarta - FB Marketplace,Mark,Wahana,4.0
151,152,2018/01/05,22:01:25,Arlina Penright,16590-286,T-Shirt,,16.0,,6.0,,,Yogyakarta - Tiktok,Jeff,Tiki,3.0
152,153,2018/01/30,6:42:51,Rosene Alliker,65044-1415,Oversized T-Shirt,,8.0,,9.0,,,Yogyakarta - Shopee,Nami,Wahana,5.0
153,154,2018/01/04,5:06:14,Dilly Cleiment,0268-6178,,,6.0,,9.0,,,Yogyakarta - Website,Elon,JNE,5.0
154,155,2018/01/22,2:30:37,Hana Craney,36987-1700,T-Shirt,,14.0,,21.0,,,Yogyakarta - Whatsapp,Jeff,JNE,4.0
155,156,2018/01/30,21:16:46,Norby McGairl,48951-9005,Oversized T-Shirt,,6.0,,,,,,Wanokuni,JNE,1.0
156,157,2018/01/20,8:10:02,Prudy Ollington,55289-281,T-Shirt,,21.0,,,,,Bandung - Tokopedia,Wanokuni,JNT,1.0
157,158,2018/01/13,8:05:34,Isabeau Leney,54973-0628,Cargo Pants,,23.0,,,,,Jakarta - Instagram,Jeff,SiCepat,3.0
158,159,2018/01/01,22:07:24,Cliff Midner,31722-222,Oversized T-Shirt,,3.0,,,,,Bandung - Website,Jeff,Wahana,5.0
159,160,2018/01/17,17:46:21,Mac Hriinchenko,52125-794,Mug,,19.0,,,,,Depok - Lazada,Wanokuni,Tiki,2.0
160,161,2018/01/04,14:41:48,Kale Moriarty,42421-232,Oversized T-Shirt,,4.0,,12.0,,,Bogor - FB Marketplace,Nami,,
161,162,2018/01/28,21:52:03,Cassy Cartmill,65162-521,T-Shirt,,15.0,,,,,Semarang - FB Marketplace,Nami,JNT,1.0
162,163,2018/01/09,13:54:09,Franny Sprowell,0944-2625,Oversized T-Shirt,,7.0,,,,,Bandung - Website,Mark,JNE,3.0
163,164,2018/01/01,21:09:54,Dario Eliez,53208-414,Cargo Pants,,19.0,,,,,Jakarta - Website,Mark,,2.0
164,165,2018/01/19,13:25:19,Skell Hackin,13811-614,Cargo Pants,,21.0,,33.0,,,Semarang - Instagram,Jeff,SiCepat,4.0
165,166,2018/01/07,2:10:38,Gratia Arthan,75847-1709,Oversized T-Shirt,,6.0,,26.0,,,Depok - Lazada,Elon,Tiki,4.0
166,167,2018/01/06,16:02:09,Timmy Lapidus,76340-6001,T-Shirt,,3.0,,,,,Bogor - Lazada,Jeff,POS Indonesia,1.0
167,168,2018/01/14,18:08:38,Keslie McCurrie,36987-2733,T-Shirt,,22.0,,34.0,,,Bandung - Whatsapp,Rizal,SiCepat,
168,169,2018/01/01,12:20:52,Arlie Braim,61543-7595,Oversized T-Shirt,,13.0,,34.0,,,Depok - Tokopedia,Nami,Shopee Express,5.0
169,170,2018/01/03,0:40:11,Heida Mancer,59779-180,T-Shirt,,3.0,,25.0,,,Tangerang - FB Marketplace,Elon,POS Indonesia,
170,171,2018/01/17,6:12:55,Kit Danniel,21130-766,Oversized T-Shirt,,11.0,,24.0,,,Jakarta - Tiktok,Wanokuni,SiCepat,3.0
171,172,2018/01/18,2:42:25,Marena Penvarden,17156-067,Oversized T-Shirt,,16.0,,,,,Yogyakarta - Instagram,Elon,POS Indonesia,4.0
172,173,2018/01/29,10:24:17,Cloe Meldrum,47335-673,T-Shirt,,24.0,,,,,Semarang - Tokopedia,Elon,Shopee Express,3.0
173,174,2018/01/23,6:04:23,Ally Coslett,0682-0475,Oversized T-Shirt,,3.0,,29.0,,,Bali - Tokopedia,Mark,POS Indonesia,1.0
174,175,2018/01/02,21:37:48,Olav Summers,51861-010,Oversized T-Shirt,,,,8.0,,,Tangerang - Tokopedia,Abraham,JNE,3.0
175,176,2018/01/19,16:06:25,Roderigo Marusik,46987-322,Cargo Pants,,25.0,,18.0,,,Bali - Whatsapp,Elon,,2.0
176,177,2018/01/10,6:03:42,Engelbert Benmore,67253-102,Oversized T-Shirt,,14.0,,28.0,,,Bandung - FB Marketplace,Wanokuni,Shopee Express,1.0
177,178,2018/01/18,8:25:42,Diarmid Chaffey,50436-9974,T-Shirt,,12.0,,13.0,,,Tangerang - Lazada,Mark,Tiki,5.0
178,179,2018/01/02,5:12:57,Nixie Sivyour,36987-2130,T-Shirt,,13.0,,,,,Depok - Whatsapp,Nami,,2.0
179,180,2018/01/22,4:29:08,Breena Hearon,0113-0323,Oversized T-Shirt,,5.0,,,,,Jakarta - Tokopedia,Nami,JNT,3.0
180,181,2018/01/25,3:05:26,Wilmette Sapshed,66184-435,T-Shirt,,22.0,,,,,Tangerang - Instagram,Abraham,Wahana,4.0
181,182,2018/01/28,0:28:56,Natala Quadrio,13537-014,T-Shirt,,3.0,,,,,Bandung - Whatsapp,Rizal,JNE,1.0
182,183,2018/01/27,14:34:18,Ermengarde Favela,63058-001,T-Shirt,,15.0,,,,,,Elon,Shopee Express,1.0
183,184,2018/01/10,20:06:15,Jdavie Postles,68084-863,Oversized T-Shirt,,23.0,,7.0,,,Bali - Shopee,Abraham,JNT,
184,185,2018/01/17,19:08:43,Melosa Brehat,54868-2143,Parka Jackets,,11.0,,32.0,,,Bali - Instagram,Rizal,POS Indonesia,4.0
185,186,2018/01/01,8:42:49,Marena Penvarden,36800-431,T-Shirt,,18.0,,,,,Tangerang - FB Marketplace,Wanokuni,Tiki,4.0
